Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00034779,0.0018528,-5.6995E-05,0,0,0,0.74277,0.00070378,-4.1859E-06,5.0763E-06,0.0014534,-1.4906E-06,0.0018914,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/base_link.STL,,base^OpenDog-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Fl_hip,0.036499,-0.0019677,8.6638E-06,0,0,0,0.10738,2.9008E-05,3.0534E-07,-3.6422E-09,2.8908E-05,-1.4346E-09,2.7491E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/Fl_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/Fl_hip.STL,,FL_hip^OpenDog-1,FL_hip,A_FL_hip,Fl_hip_joint,revolute,0.095,0.04,0.002,0,0,0,base_link,1,0,0,6,10.472,-1.046799,0.521799,,,,,,,,
FL_thigh,-0.00035825,0.040064,-0.01042,0,0,0,0.17783,0.00011929,-2.4346E-06,7.5674E-06,0.00012556,-9.309E-06,5.6972E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FL_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FL_thigh.STL,,FL_thigh^OpenDog-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0.04105,0.022086,0,0,0,0,Fl_hip,0,1,0,6,10.472,-1.046799,1.395799,,,,,,,,
FL_calf,0.0058766,0.0010905,-0.055324,0,0,0,0.026587,2.6953E-05,-4.1473E-11,-8.1148E-07,2.7698E-05,1.8567E-09,1.1037E-06,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FL_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FL_calf.STL,,FL_calf^OpenDog-1,FL_calf,A_FL_calf,FL_calf_joint,revolute,0,0.06305,-0.1,0,0,0,FL_thigh,0,1,0,9,6.981,-2.68,-1.04,,,,,,,,
FR_hip,0.036499,0.0020253,8.6652E-06,0,0,0,0.10738,2.9008E-05,-3.053E-07,-3.6254E-09,2.8908E-05,1.3497E-09,2.7491E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FR_hip.STL,,FR_hip^OpenDog-1,FR_hip,A_FR_hip,FR_hip_joint,revolute,0.095,-0.04,0.002,0,0,0,base_link,1,0,0,6,10.472,-0.521799,1.046799,,,,,,,,
FR_thigh,-0.0003633,-0.040029,-0.010419,0,0,0,0.17783,0.00011929,2.4347E-06,7.5674E-06,0.00012556,9.309E-06,5.6972E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FR_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FR_thigh.STL,,FR_thigh^OpenDog-1,FR_thigh,A_FR_thigh,FR_thigh_joint,revolute,0.04105,-0.022,0,0,0,0,FR_hip,0,-1,0,6,10.472,-1.395799,1.046799,,,,,,,,
FR_calf,0.0058561,-0.0010904,-0.055326,0,0,0,0.026587,2.6953E-05,4.3259E-11,-8.0188E-07,2.7698E-05,-1.8597E-09,1.1031E-06,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FR_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/FR_calf.STL,,FR_calf^OpenDog-1,FR_calf,A_FR_calf,FR_calf_joint,revolute,0,-0.06305,-0.1,0,0,0,FR_thigh,0,-1,0,9,6.981,1.04,2.68,,,,,,,,
RL_hip,-0.036515,-0.0020279,-8.6191E-06,0,0,0,0.10775,2.9262E-05,-3.0521E-07,-3.6068E-09,2.9057E-05,1.2646E-09,2.7745E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RL_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RL_hip.STL,,RL_hip^OpenDog-1,RL_hip,A_RL_hip,RL_hip_joint,revolute,-0.095,0.04,0.002,0,0,0,base_link,-1,0,0,6,10.472,-0.521799,1.046799,,,,,,,,
RL_thigh,-0.0036951,0.040025,-0.012343,0,0,0,0.17786,0.00011788,-9.1627E-07,6.1803E-06,0.00012368,-8.464E-06,5.6518E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RL_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RL_thigh.STL,,RL_thigh^OpenDog-1,RL_thigh,A_RL_thigh,RL_thigh_joint,revolute,-0.04105,0.022,0,0,0,0,RL_hip,0,1,0,6,10.472,-1.046799,1.395799,,,,,,,,
RL_calf,0.0059972,0.0010905,-0.055311,0,0,0,0.026587,2.695E-05,-4.5479E-11,-8.6782E-07,2.7698E-05,1.8565E-09,1.1074E-06,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RL_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RL_calf.STL,,RL_calf^OpenDog-1,RL_calf,A_RL_calf,RL_calf_joint,revolute,0,0.06305,-0.1,0,0,0,RL_thigh,0,1,0,9,6.981,-2.68,-1.04,,,,,,,,
RR_hip,-0.036515,0.0020279,-8.6204E-06,0,0,0,0.10775,2.9262E-05,3.0521E-07,-3.6064E-09,2.9057E-05,-1.2652E-09,2.7745E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RR_hip.STL,,RR_hip^OpenDog-1,RR_hip,A_RR_hip,RR_hip_joint,revolute,-0.095,-0.04,0.002,0,0,0,base_link,-1,0,0,6,10.472,-1.046799,0.521799,,,,,,,,
RR_thigh,-0.0036951,-0.040024,-0.012343,0,0,0,0.17786,0.00011788,9.1635E-07,6.1803E-06,0.00012368,8.4643E-06,5.6518E-05,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RR_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RR_thigh.STL,,RR_thigh^OpenDog-1,RR_thigh,A_RR_thigh,RR_thigh_joint,revolute,-0.04105,-0.022,0,0,0,0,RR_hip,0,-1,0,6,10.472,-1.395799,1.046799,,,,,,,,
RR_calf,0.0061036,-0.0010904,-0.055299,0,0,0,0.026587,2.6946E-05,5.1589E-11,-9.1752E-07,2.7698E-05,-1.8594E-09,1.1108E-06,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RR_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://OpenDog.SLDASM/meshes/RR_calf.STL,,RR_calf^OpenDog-1,RR_calf,A_RR_calf,RR_calf_joint,revolute,0,-0.06305,-0.1,0,0,0,RR_thigh,0,-1,0,9,6.981,1.04,2.68,,,,,,,,
